Microchip,Weight,Headwidth,TrapID,year,month,dftd,breed,agecat,Fhat3
985120016024442,6.09,100.4,FNP116,2004,7,0,0,1year,-0.0486419
985120016025982,7,102.6,NA,2005,4,0,1,Adult,-0.123177
985120016025982,5,94.69,FNP149,2004,6,0,0,1year,-0.123177
985120016057245,5.19,99.59,FNP088,2004,7,0,0,1year,-0.0748196
985120016060923,5.19,96.4,FNP091,2004,7,0,0,1year,-0.0441484
985120016061752,8.4,102.1,NA,2005,4,0,1,Adult,-0.139646
985120016061752,6.9,105.6,FNP118,2004,11,0,0,1year,-0.139646
985120016063435,6.9,103.5,FNP124,2004,7,0,1,Adult,0.020401
985120016066498,6.59,90.8,FNP030,2004,6,0,0,1year,-0.014962
985120016069464,7.6,111.7,FNP031,2004,11,0,1,Adult,0.0524001
985120016071738,5,94.8,FNP195,2004,6,0,1,Adult,0.000894813
985120016078264,5.5,100.3,FNP097,2004,12,0,1,1year,-0.110663
985120016080892,5.5,93.19,FNP028,2004,6,0,1,Adult,-0.0556954
985120016086299,8,110.3,NA,2005,4,0,1,Adult,-0.0339134
985120016086299,6.6,108.5,FNP090,2004,11,0,1,Adult,-0.0339134
985120016086299,5.69,97.3,FNP091,2003,6,0,0,1year,-0.0339134
985120016086565,5.5,99.8,FNP039,2004,11,0,0,1year,-0.0288211
985120016086565,4.59,106,FNP040,2006,4,0,0,Adult,-0.0288211
985120016086565,5.4,106.8,FNP086,2005,12,0,1,Adult,-0.0288211
985120016099646,8.5,105,FNP040,2004,7,0,1,Adult,-0.052995
FNP000000000327,7.9,108,FNP033,2003,7,0,1,Adult,-0.0389362
FNP000000000341,8.19,102.9,FNP119,2003,7,0,1,Adult,-0.0256052
FNP000000000343,5.5,101,FNP120,2003,7,0,1,Adult,0.0694393
FNP000000000360,9.5,104,FNP117,2003,7,0,1,Adult,0.202827
FNP000000000361,7.5,101.9,FNP002,2004,6,0,1,Adult,-0.0818522
FNP000000000372,5.5,106.6,NA,2005,4,0,0,Adult,-0.100373
FNP000000000372,7.3,103.9,FNP009,2004,11,0,1,Adult,-0.100373
FNP000000000390,5.69,100.6,FNP009,2003,6,0,0,1year,-0.00651399
FNP000000000392,6.3,90.9,FNP006,2003,6,0,0,1year,-0.0144277
FNP000000000398,7.9,96.69,FNP025,2004,6,0,1,Adult,-0.0133182
FNP000000000398,5.9,101.6,FNP028,2003,6,0,0,1year,-0.0133182
FNP000000000402,8.1,102.5,FNP151,2004,7,0,1,Adult,-0.153221
FNP000000000402,5.3,103,FNP031,2003,7,0,0,1year,-0.153221
FNP000000000405,5.59,103,FNP160,2003,7,0,0,1year,-0.0544873
FNP000000000410,8,104.6,FNP086,2004,7,0,1,Adult,-0.0956717
FNP000000000415,5.3,103.9,FNP203,2006,8,0,1,Adult,-0.0253758
FNP000000000415,4.9,100.5,NA,2005,8,0,1,Adult,-0.0253758
FNP000000000415,4.09,96.3,FNP201,2003,7,0,0,1year,-0.0253758
FNP000000000415,4.9,93.5,FNP201,2004,6,0,1,Adult,-0.0253758
