Microchip,Weight,Headwidth,TrapID,year,month,dftd,breed,agecat
982000402221904,6.3,99.4,FNP077,2016,6,0,0,1year
982000402224974,6.1,102.4,FNP001,2016,7,0,1,Adult
982000402226166,4.9,90.8,FNP026,2016,7,0,0,1year
982000402226166,8.3,102.9,FNP007,2018,8,1,1,Adult
982000402226625,9.8,107.4,FNP040,2018,2,1,1,Adult
982000402226625,8.3,110.9,FNP020,2016,12,0,1,Adult
982000405792193,5,97.4,FNP006,2019,3,1,0,1year
982000405792810,7.4,103.2,FNP040,2018,8,0,1,Adult
982000405792834,6.4,104.6,FNP103,2021,2,0,0,Adult
982000405793918,6.2,101.6,FNP090,2018,11,1,0,1year
982000405794291,6,94.5,FNP102,2019,12,1,1,1year
982000405797178,6.1,103.8,FNP032,2019,3,1,0,1year
982000405915074,5,99.8,FNP006,2019,3,1,0,1year
982000405915380,6.6,100.3,FNP078,2018,8,0,0,1year
982000405915387,5.9,96.5,FNP102,2018,8,0,0,1year
982000405915387,6.7,96.8,FNP103,2019,9,1,1,Adult
982000405975633,4.7,92.7,FNP089,2020,6,0,1,1year
982000405977669,6.2,95.6,FNP096,2020,6,0,1,1year
982000405978024,5.5,102.3,FNP116,2021,1,0,1,1year
982000405978502,5.8,95,FNP023,2020,8,0,0,1year
982000405982391,6.6,102.7,FNP090,2020,6,0,0,1year
982000405982701,6.9,103.6,FNP032A,2021,1,1,0,1year
982000405982775,5.8,92,FNP013,2020,8,0,0,1year
982000405982861,5.9,100.3,FNP036,2020,8,0,0,1year
982000405982914,6.9,106.5,FNP083,2021,2,0,1,1year
982000405983144,6.6,100.7,FNP015,2020,6,0,0,1year
982000405983152,6.5,105,FNP036,2020,11,1,1,Adult
982000405983152,5.4,94.7,FNP035,2019,9,0,0,1year
982000405983152,7.2,108.1,FNP037,2021,5,1,1,Adult
982000405985358,5.8,105.8,FNP029,2021,5,0,0,Adult
982000405985358,5,99.3,FNP030,2020,8,0,1,1year
982000405985584,6.2,98.4,FNP089,2021,1,1,0,1year
982000405985630,4.5,91.6,FNP089,2020,6,0,1,1year
982000410414290,6.9,105.1,FNP018,2020,11,1,1,Adult
982000410414290,5.6,97.1,FNP015,2020,2,0,0,1year
982000410414323,7.7,105.8,FNP031A,2021,1,0,1,Adult
982000410414350,8.4,107.3,FNP039,2020,6,1,1,Adult
982000410414350,6.7,103.5,FNP037,2019,9,0,0,1year
982000410415268,7.2,105.2,FNP034A,2020,8,1,1,Adult
982000410415268,6.3,99.9,FNP032,2019,11,0,0,1year
982000410418463,6.9,98.7,FNP034,2019,9,0,1,1year
982000410418713,8,102.3,FNP081,2019,9,1,1,1year
982000410419156,6.5,100.9,FNP036,2019,12,0,0,1year
982000410420788,7.3,107.7,FNP108,2020,8,0,1,Adult
982000410420788,7.7,99.4,FNP085,2019,9,0,1,1year
982000410420967,6.3,101.3,FNP079,2020,3,1,1,1year
982000410421013,5.2,99.5,FNP078,2019,9,1,0,1year
982000410421242,7.6,105.5,FNP091,2019,9,0,1,1year
982000410452578,5.2,102.4,FNP034,2019,12,0,0,1year
982000410452578,6.2,104.1,FNP035A,2021,3,1,1,Adult
982000410452806,4.7,100.1,FNP097,2019,12,1,1,1year
982000410453175,5.7,100.9,FNP031,2019,12,1,1,1year
982000410453184,5.7,100.5,FNP003,2020,11,0,1,Adult
982000410453184,4.3,95,FNP005,2019,9,0,0,1year
982000410453251,6.5,105.2,FNP034,2020,11,1,1,Adult
982000410453251,5.3,95.6,FNP040,2019,12,0,0,1year
982009100573994,6.5,107,FNP100,2006,8,0,1,1year
982009100573994,8,107,FNP109,2007,6,1,1,Adult
982009100812406,4.9,95.59,FNP005,2006,7,0,0,1year
982009100813321,5.69,107.5,FNP121,2007,1,0,1,1year
982009100813321,6,108,FNP119,2007,4,0,0,Adult
